Stage,type,Name,PM,PC1,PC2,PC3,PC4,maha
1-2.5 m,VPA,Isis,2.25,117.89484032134128,2.6290845369842932,-9.964616829841615,0.007242605710535216,4.13425149616731
1-2.5 m,VPA,Sasacama,1,-8.41829062190148,37.407906950549986,5.973585077366236,-2.1817194316570028,1.3782193924035484
1-2.5 m,VPA,Sasacama,1.75,-12.331833602454493,16.816514333909105,-2.245919205417452,-115.63008531786343,10.525352671773048
1-2.5 m,VPA,Sasacama,2.25,120.6374629498969,59.36003138359294,2.569612592490434,4.904710381765686,1.0860693363577736
2.5-4 m,UE,Belarus,2.75,22.70611491007689,52.17381251804441,1.494202343691616,20.957666201260402,2.266706514570833
2.5-4 m,UE,Belarus,3.25,-87.96029131075817,-63.10045582749007,-17.608211899864656,-4.418909461811244,12.389957395899751
2.5-4 m,UE,Belarus,4,50.73432575473508,53.49426713836069,2.044134358112684,-3.984335195270893,5.654137551182185
2.5-4 m,UE,Belladonna,2.75,36.72641816825785,50.439169930984065,2.4754038631826125,8.661543041273667,0.6408312997832017
2.5-4 m,UE,Belladonna,3.25,34.21243656825116,39.994058819057,-0.9445557758409528,7.318324128311856,0.619109753055745
2.5-4 m,UE,Belladonna,3.75,43.09415901370889,50.92328757592821,2.3067398423090086,10.474065922854155,0.4846181243926078
2.5-4 m,UE,Chlocks,3.5,69.76616057979766,43.4703396333998,7.792286741263103,7.367401389156252,1.4341834051202835
2.5-4 m,UE,Chlocks,3.75,21.022836758089618,32.275278624185184,22.969259556193055,-6.961810039907339,10.731044833759169
2.5-4 m,UE,Chuppa,2.75,-121.29410458787925,4.8891466337915865,-0.6507398566227437,22.573723760965265,3.827067199055266
2.5-4 m,UE,Genge,2.75,128.04824714568053,63.236323478108744,1.859417787551596,10.461284470237636,0.6444984913121796
2.5-4 m,UE,Genge,3.25,120.17133217081228,50.162023323885386,2.326460236970648,4.909351016029184,0.5967602201103753
2.5-4 m,UE,Genge,3.75,115.02750898154008,63.21490375461832,2.3288106075147548,10.65563170225726,0.6447546211056597
2.5-4 m,UE,Nodogro,2.75,-761.4082673147922,-101.6374207626156,14.71671387783643,6.117023601171895,12.261170658199243
